putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
Glucose-6-phosphate_(1MEOX)_(6TMS)_MP_775879.88_PRED	5900	7098	6791	7049	7830	23055	11929	575	37163	20308	16333	14006	20199	23760	9591	15956	14156	18283	15464	19327	8132	28927
"Glucuronic_acid-3,6-lactone_(1MEOX)_(3TMS)_MP_657311_TRUE"	7307	18670	8553	7187	11460	10984	5069	1429441	8832	11003	12219	17068	5904	2833	13367	5571	5212	12110	10838	13141	8139	8352
Glutamate (3TMS) [MP-1.1]	24350	13012	18021	13929	15827	17381	15209	1036875	14181	20638	34787	17494	19172	8987	31789	7185	12742	17967	12727	15410	18173	9882
Glutamine [MP-1.1]	89139	74032	60575	69221	82901	79302	47360	195273	63818	70626	43591	86916	44109	49226	58054	37255	39705	69448	60391	65865	79666	53176
"Glutamine,_N-acetyl-,_DL-_(3TMS)_655207.31_PRED"	240	523	253	202	429	388	170	37264	352	385	370	560	153	122	350	203	195	373	333	480	288	252
"Glutaric_acid,_2-hydroxy-_(3TMS)_488906.25_TRUE"	20408	15320	14161	9954	12273	19532	11788	79380	8188	15634	14875	13887	10080	10858	9607	9011	11317	19930	9035	9768	16175	9863
"Glutaric_acid,_2-oxo-_(1MEOX)_(2TMS)_BP_486148.94_PRED"	2821	2328	2155	1599	2019	2928	1680	12580	1461	2528	2184	2051	1581	1728	1462	1364	1663	3284	1389	1620	2634	1553
Glyceraldehyde_(1MEOX)_(2TMS)_MP_277992.03_PRED	1538	1721	1303	1564	1605	2188	1533	16549	2085	1958	1934	1720	826	1250	1803	684	1151	2490	992	2814	1913	782
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	28916	17708	14700	12716	16025	11833	15510	123403	21491	18514	19966	10835	15091	12176	23308	7762	16219	30446	26794	20210	15141	25410
Glycerate	1191	985	811	883	736	1469	713	3422	712	1144	968	786	635	753	753	505	727	1315	542	773	1040	487
Glyceric_acid-3-phosphate_(4TMS)_606948.88_PRED	2059	1062	1823	1142	1296	4727	1987	1010	3151	4755	876	1230	1684	1855	1760	1081	2295	5944	1371	2213	2081	2088
Glycerol ((3TMS)) [MP-1.1]	28592	20996	12843	15749	20766	13569	19837	1039407	13737	18470	24445	18930	11466	12892	13023	9506	14391	32986	11346	28307	12800	11718
Glycerol-2-phosphate_(4TMS)_556161.06_TRUE	4772	5407	5528	3362	3300	9847	3700	5736	9503	7638	4340	6135	4126	3834	2502	2627	3744	12939	3106	9739	3340	4632
Glycine (2TMS) [MP-2.1]	4318	14436	40398	92284	40071	71914	22279	397895	57755	11126	3214	14496	4989	1788	88117	23879	22731	29872	3191	37989	53483	2737
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	22865	24520	16748	19949	27801	26212	24885	67613	10777	22265	26883	29499	12838	18118	20504	11218	18596	30580	13153	17292	22726	12855
